Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
,,9781250044662,19.99,Marissa Meyer,Renegades,15,Young Adult,3/7/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,1,Early & Middle,1/3/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,2,Early & Middle,1/3/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/3/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,1/3/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,5,Early & Middle,1/3/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,6,Early & Middle,1/3/2018
,,9781465455512,22.99,Pablo Hidalgo,Star Wars the Last Jedi: The Visual Dictionary,7,Early & Middle,1/3/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,1/3/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,9,Early & Middle,1/3/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,10,Early & Middle,1/3/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,11,Early & Middle,1/3/2018
,,9780399559181,9.99,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,12,Early & Middle,1/3/2018
,,9780316508889,17.99,Jessica Townsend,Nevermoor: The Trials of Morrigan Crow,13,Early & Middle,1/3/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,14,Early & Middle,1/3/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,15,Early & Middle,1/3/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/10/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/10/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/10/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,1/10/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,5,Early & Middle,1/10/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,6,Early & Middle,1/10/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,7,Early & Middle,1/10/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,1/10/2018
,,9780399559181,9.99,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,9,Early & Middle,1/10/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,10,Early & Middle,1/10/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,11,Early & Middle,1/10/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,12,Early & Middle,1/10/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,13,Early & Middle,1/10/2018
,,9781626727854,12.99,Shannon Hale & LeUyen Pham (Illus.),Real Friends,14,Early & Middle,1/10/2018
,,9780803740167,12.99,Victoria Jamieson,Roller Girl,15,Early & Middle,1/10/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/17/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/17/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/17/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,4,Early & Middle,1/17/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,5,Early & Middle,1/17/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,6,Early & Middle,1/17/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,7,Early & Middle,1/17/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,8,Early & Middle,1/17/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,9,Early & Middle,1/17/2018
,,9780803740167,12.99,Victoria Jamieson,Roller Girl,10,Early & Middle,1/17/2018
,,9780062377012,16.99,Sara Pennypacker & Jon Klassen (Illus.),Pax,11,Early & Middle,1/17/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,12,Early & Middle,1/17/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,13,Early & Middle,1/17/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,14,Early & Middle,1/17/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,15,Early & Middle,1/17/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/24/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/24/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,3,Early & Middle,1/24/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,4,Early & Middle,1/24/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,5,Early & Middle,1/24/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,6,Early & Middle,1/24/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,7,Early & Middle,1/24/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,8,Early & Middle,1/24/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,9,Early & Middle,1/24/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,10,Early & Middle,1/24/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,11,Early & Middle,1/24/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,12,Early & Middle,1/24/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,13,Early & Middle,1/24/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,14,Early & Middle,1/24/2018
,,9780316508889,17.99,Jessica Townsend,Nevermoor: The Trials of Morrigan Crow,15,Early & Middle,1/24/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/31/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/31/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/31/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,4,Early & Middle,1/31/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,5,Early & Middle,1/31/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,6,Early & Middle,1/31/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,7,Early & Middle,1/31/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,1/31/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,9,Early & Middle,1/31/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,10,Early & Middle,1/31/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,11,Early & Middle,1/31/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,12,Early & Middle,1/31/2018
,,9780399559181,9.99,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,13,Early & Middle,1/31/2018
,,9780316508889,17.99,Jessica Townsend,Nevermoor: The Trials of Morrigan Crow,14,Early & Middle,1/31/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,15,Early & Middle,1/31/2018
1,7,9780553448122,27,Andy Weir,Artemis,1,Hardcover Fiction,1/3/2018
2,13,9780385514231,29.95,Dan Brown,Origin,2,Hardcover Fiction,1/3/2018
4,69,9780670026197,27,Amor Towles,A Gentleman in Moscow,3,Hardcover Fiction,1/3/2018
7,13,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",4,Hardcover Fiction,1/3/2018
3,13,9781476716732,27,Jennifer Egan,Manhattan Beach,5,Hardcover Fiction,1/3/2018
6,10,9780385541176,28.95,John Grisham,The Rooster Bar,6,Hardcover Fiction,1/3/2018
8,16,9780735224292,27,Celeste Ng,Little Fires Everywhere,7,Hardcover Fiction,1/3/2018
5,35,9780812995343,28,George Saunders,Lincoln in the Bardo,8,Hardcover Fiction,1/3/2018
9,11,9781101946152,26.95,Tom Hanks,Uncommon Type,9,Hardcover Fiction,1/3/2018
12,9,9781501178139,28,Isabel Allende,In the Midst of Winter,10,Hardcover Fiction,1/3/2018
10,8,9780399593482,28.99,Lee Child,The Midnight Line,11,Hardcover Fiction,1/3/2018
13,31,9780393609097,25.95,Neil Gaiman,Norse Mythology,12,Hardcover Fiction,1/3/2018
15,14,9780735225114,28,John le Carré,A Legacy of Spies,13,Hardcover Fiction,1/3/2018
11,10,9780399563249,30,Mary Oliver,Devotions,14,Hardcover Fiction,1/3/2018
,10,9780735212176,26,Mohsin Hamid,Exit West,15,Hardcover Fiction,1/3/2018
4,14,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",1,Hardcover Fiction,1/10/2018
3,70,9780670026197,27,Amor Towles,A Gentleman in Moscow,2,Hardcover Fiction,1/10/2018
2,14,9780385514231,29.95,Dan Brown,Origin,3,Hardcover Fiction,1/10/2018
7,17,9780735224292,27,Celeste Ng,Little Fires Everywhere,4,Hardcover Fiction,1/10/2018
5,14,9781476716732,27,Jennifer Egan,Manhattan Beach,5,Hardcover Fiction,1/10/2018
1,8,9780553448122,27,Andy Weir,Artemis,6,Hardcover Fiction,1/10/2018
,1,9780062678416,26.99,A.J. Finn,The Woman in the Window,7,Hardcover Fiction,1/10/2018
8,36,9780812995343,28,George Saunders,Lincoln in the Bardo,8,Hardcover Fiction,1/10/2018
6,11,9780385541176,28.95,John Grisham,The Rooster Bar,9,Hardcover Fiction,1/10/2018
,1,9780316547611,26,Naomi Alderman,The Power,10,Hardcover Fiction,1/10/2018
15,11,9780735212176,26,Mohsin Hamid,Exit West,11,Hardcover Fiction,1/10/2018
10,10,9781501178139,28,Isabel Allende,In the Midst of Winter,12,Hardcover Fiction,1/10/2018
9,12,9781101946152,26.95,Tom Hanks,Uncommon Type,13,Hardcover Fiction,1/10/2018
11,9,9780399593482,28.99,Lee Child,The Midnight Line,14,Hardcover Fiction,1/10/2018
,1,9781501176845,27.99,James Lee Burke,Robicheaux,15,Hardcover Fiction,1/10/2018
1,15,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",1,Hardcover Fiction,1/17/2018
,1,9780735213180,26,Chloe Benjamin,The Immortalists,2,Hardcover Fiction,1/17/2018
7,2,9780062678416,26.99,A.J. Finn,The Woman in the Window,3,Hardcover Fiction,1/17/2018
4,18,9780735224292,27,Celeste Ng,Little Fires Everywhere,4,Hardcover Fiction,1/17/2018
2,71,9780670026197,27,Amor Towles,A Gentleman in Moscow,5,Hardcover Fiction,1/17/2018
3,15,9780385514231,29.95,Dan Brown,Origin,6,Hardcover Fiction,1/17/2018
6,9,9780553448122,27,Andy Weir,Artemis,7,Hardcover Fiction,1/17/2018
5,15,9781476716732,27,Jennifer Egan,Manhattan Beach,8,Hardcover Fiction,1/17/2018
8,37,9780812995343,28,George Saunders,Lincoln in the Bardo,9,Hardcover Fiction,1/17/2018
10,2,9780316547611,26,Naomi Alderman,The Power,10,Hardcover Fiction,1/17/2018
9,12,9780385541176,28.95,John Grisham,The Rooster Bar,11,Hardcover Fiction,1/17/2018
,1,9781250130921,26.99,Greer Hendricks,The Wife Between Us,12,Hardcover Fiction,1/17/2018
14,10,9780399593482,28.99,Lee Child,The Midnight Line,13,Hardcover Fiction,1/17/2018
13,13,9781101946152,26.95,Tom Hanks,Uncommon Type,14,Hardcover Fiction,1/17/2018
11,12,9780735212176,26,Mohsin Hamid,Exit West,15,Hardcover Fiction,1/17/2018
3,3,9780062678416,26.99,A.J. Finn,The Woman in the Window,1,Hardcover Fiction,1/24/2018
2,2,9780735213180,26,Chloe Benjamin,The Immortalists,2,Hardcover Fiction,1/24/2018
1,16,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",3,Hardcover Fiction,1/24/2018
4,19,9780735224292,27,Celeste Ng,Little Fires Everywhere,4,Hardcover Fiction,1/24/2018
5,72,9780670026197,27,Amor Towles,A Gentleman in Moscow,5,Hardcover Fiction,1/24/2018
6,16,9780385514231,29.95,Dan Brown,Origin,6,Hardcover Fiction,1/24/2018
7,10,9780553448122,27,Andy Weir,Artemis,7,Hardcover Fiction,1/24/2018
8,16,9781476716732,27,Jennifer Egan,Manhattan Beach,8,Hardcover Fiction,1/24/2018
12,2,9781250130921,26.99,Greer Hendricks,The Wife Between Us,9,Hardcover Fiction,1/24/2018
11,13,9780385541176,28.95,John Grisham,The Rooster Bar,10,Hardcover Fiction,1/24/2018
10,3,9780316547611,26,Naomi Alderman,The Power,11,Hardcover Fiction,1/24/2018
,1,9780812988635,27,Denis Johnson,The Largesse of the Sea Maiden,12,Hardcover Fiction,1/24/2018
9,38,9780812995343,28,George Saunders,Lincoln in the Bardo,13,Hardcover Fiction,1/24/2018
13,11,9780399593482,28.99,Lee Child,The Midnight Line,14,Hardcover Fiction,1/24/2018
15,13,9780735212176,26,Mohsin Hamid,Exit West,15,Hardcover Fiction,1/24/2018
2,3,9780735213180,26,Chloe Benjamin,The Immortalists,1,Hardcover Fiction,1/31/2018
1,4,9780062678416,26.99,A.J. Finn,The Woman in the Window,2,Hardcover Fiction,1/31/2018
5,73,9780670026197,27,Amor Towles,A Gentleman in Moscow,3,Hardcover Fiction,1/31/2018
4,20,9780735224292,27,Celeste Ng,Little Fires Everywhere,4,Hardcover Fiction,1/31/2018
3,17,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",5,Hardcover Fiction,1/31/2018
6,17,9780385514231,29.95,Dan Brown,Origin,6,Hardcover Fiction,1/31/2018
7,11,9780553448122,27,Andy Weir,Artemis,7,Hardcover Fiction,1/31/2018
8,17,9781476716732,27,Jennifer Egan,Manhattan Beach,8,Hardcover Fiction,1/31/2018
11,4,9780316547611,26,Naomi Alderman,The Power,9,Hardcover Fiction,1/31/2018
9,3,9781250130921,26.99,Greer Hendricks,The Wife Between Us,10,Hardcover Fiction,1/31/2018
10,14,9780385541176,28.95,John Grisham,The Rooster Bar,11,Hardcover Fiction,1/31/2018
12,2,9780812988635,27,Denis Johnson,The Largesse of the Sea Maiden,12,Hardcover Fiction,1/31/2018
13,39,9780812995343,28,George Saunders,Lincoln in the Bardo,13,Hardcover Fiction,1/31/2018
,11,9780399563249,30,Mary Oliver,Devotions,14,Hardcover Fiction,1/31/2018
,15,9780735225114,28,John le Carré,A Legacy of Spies,15,Hardcover Fiction,1/31/2018
1,11,9781501139154,35,Walter Isaacson,Leonardo da Vinci,1,Hardcover Nonfiction,1/3/2018
2,35,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,1/3/2018
6,39,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,1/3/2018
3,12,9781594204876,40,Ron Chernow,Grant,4,Hardcover Nonfiction,1/3/2018
7,3,9781631494758,15.95,Mary Beard,Women & Power,5,Hardcover Nonfiction,1/3/2018
4,7,9781250171672,27,Joe Biden,"Promise Me, Dad",6,Hardcover Nonfiction,1/3/2018
8,13,9780399590566,28,Ta-Nehisi Coates,We Were Eight Years in Power,7,Hardcover Nonfiction,1/3/2018
,6,9781501124020,30,Ray Dalio,Principles,8,Hardcover Nonfiction,1/3/2018
,1,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,9,Hardcover Nonfiction,1/3/2018
14,70,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,10,Hardcover Nonfiction,1/3/2018
11,26,9780385534246,28.95,David Grann,Killers of the Flower Moon,11,Hardcover Nonfiction,1/3/2018
10,60,9781771642484,24.95,Peter Wohlleben,The Hidden Life of Trees,12,Hardcover Nonfiction,1/3/2018
12,7,9781771643016,24.95,Peter Wohlleben,The Inner Life of Animals,13,Hardcover Nonfiction,1/3/2018
9,9,9781501111860,28,Chris Matthews,Bobby Kennedy: A Raging Spirit,14,Hardcover Nonfiction,1/3/2018
13,15,9781501175565,30,Hillary Rodham Clinton,What Happened,15,Hardcover Nonfiction,1/3/2018
,1,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,1/10/2018
2,36,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,1/10/2018
3,40,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,1/10/2018
1,12,9781501139154,35,Walter Isaacson,Leonardo da Vinci,4,Hardcover Nonfiction,1/10/2018
5,4,9781631494758,15.95,Mary Beard,Women & Power,5,Hardcover Nonfiction,1/10/2018
9,2,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,6,Hardcover Nonfiction,1/10/2018
4,13,9781594204876,40,Ron Chernow,Grant,7,Hardcover Nonfiction,1/10/2018
8,7,9781501124020,30,Ray Dalio,Principles,8,Hardcover Nonfiction,1/10/2018
6,8,9781250171672,27,Joe Biden,"Promise Me, Dad",9,Hardcover Nonfiction,1/10/2018
10,71,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,10,Hardcover Nonfiction,1/10/2018
11,27,9780385534246,28.95,David Grann,Killers of the Flower Moon,11,Hardcover Nonfiction,1/10/2018
7,14,9780399590566,28,Ta-Nehisi Coates,We Were Eight Years in Power,12,Hardcover Nonfiction,1/10/2018
,42,9780399185045,26,The Dalai Lama,The Book of Joy,13,Hardcover Nonfiction,1/10/2018
,1,9781501173240,18.99,Margareta Magnusson,The Gentle Art of Swedish Death Cleaning,14,Hardcover Nonfiction,1/10/2018
12,61,9781771642484,24.95,Peter Wohlleben,The Hidden Life of Trees,15,Hardcover Nonfiction,1/10/2018
1,2,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,1/17/2018
2,37,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,1/17/2018
3,41,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,1/17/2018
4,13,9781501139154,35,Walter Isaacson,Leonardo da Vinci,4,Hardcover Nonfiction,1/17/2018
6,3,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,5,Hardcover Nonfiction,1/17/2018
5,5,9781631494758,15.95,Mary Beard,Women & Power,6,Hardcover Nonfiction,1/17/2018
7,14,9781594204876,40,Ron Chernow,Grant,7,Hardcover Nonfiction,1/17/2018
9,9,9781250171672,27,Joe Biden,"Promise Me, Dad",8,Hardcover Nonfiction,1/17/2018
8,8,9781501124020,30,Ray Dalio,Principles,9,Hardcover Nonfiction,1/17/2018
10,72,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,10,Hardcover Nonfiction,1/17/2018
13,43,9780399185045,26,The Dalai Lama,The Book of Joy,11,Hardcover Nonfiction,1/17/2018
,9,9780812995848,28,Brene Brown,Braving the Wilderness,12,Hardcover Nonfiction,1/17/2018
,1,9780735210622,28,Daniel H. Pink,When,13,Hardcover Nonfiction,1/17/2018
11,28,9780385534246,28.95,David Grann,Killers of the Flower Moon,14,Hardcover Nonfiction,1/17/2018
12,15,9780399590566,28,Ta-Nehisi Coates,We Were Eight Years in Power,15,Hardcover Nonfiction,1/17/2018
1,3,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,1/24/2018
2,38,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,1/24/2018
3,42,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,1/24/2018
4,14,9781501139154,35,Walter Isaacson,Leonardo da Vinci,4,Hardcover Nonfiction,1/24/2018
5,4,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,5,Hardcover Nonfiction,1/24/2018
9,9,9781501124020,30,Ray Dalio,Principles,6,Hardcover Nonfiction,1/24/2018
6,6,9781631494758,15.95,Mary Beard,Women & Power,7,Hardcover Nonfiction,1/24/2018
13,2,9780735210622,28,Daniel H. Pink,When,8,Hardcover Nonfiction,1/24/2018
,1,9781501174162,28,David Cay Johnston,It's Even Worse Than You Think: What the Trump Administration Is Doing to America,9,Hardcover Nonfiction,1/24/2018
10,73,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,10,Hardcover Nonfiction,1/24/2018
8,10,9781250171672,27,Joe Biden,"Promise Me, Dad",11,Hardcover Nonfiction,1/24/2018
11,44,9780399185045,26,The Dalai Lama,The Book of Joy,12,Hardcover Nonfiction,1/24/2018
12,10,9780812995848,28,Brene Brown,Braving the Wilderness,13,Hardcover Nonfiction,1/24/2018
14,29,9780385534246,28.95,David Grann,Killers of the Flower Moon,14,Hardcover Nonfiction,1/24/2018
7,15,9781594204876,40,Ron Chernow,Grant,15,Hardcover Nonfiction,1/24/2018
1,4,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,1/31/2018
2,39,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,1/31/2018
3,43,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,1/31/2018
4,15,9781501139154,35,Walter Isaacson,Leonardo da Vinci,4,Hardcover Nonfiction,1/31/2018
5,5,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,5,Hardcover Nonfiction,1/31/2018
10,74,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,6,Hardcover Nonfiction,1/31/2018
,1,9781524762933,26,Steven Levitsky,How Democracies Die,7,Hardcover Nonfiction,1/31/2018
12,45,9780399185045,26,The Dalai Lama,The Book of Joy,8,Hardcover Nonfiction,1/31/2018
6,10,9781501124020,30,Ray Dalio,Principles,9,Hardcover Nonfiction,1/31/2018
8,3,9780735210622,28,Daniel H. Pink,When,10,Hardcover Nonfiction,1/31/2018
,2,9781501173240,18.99,Margareta Magnusson,The Gentle Art of Swedish Death Cleaning,11,Hardcover Nonfiction,1/31/2018
7,7,9781631494758,15.95,Mary Beard,Women & Power,12,Hardcover Nonfiction,1/31/2018
15,16,9781594204876,40,Ron Chernow,Grant,13,Hardcover Nonfiction,1/31/2018
11,11,9781250171672,27,Joe Biden,"Promise Me, Dad",14,Hardcover Nonfiction,1/31/2018
14,30,9780385534246,28.95,David Grann,Killers of the Flower Moon,15,Hardcover Nonfiction,1/31/2018
1,5,9780062473363,9.99,Michael Crichton,Dragon Teeth,1,Mass Market,1/3/2018
2,25,9781101967683,9.99,John Grisham,The Whistler,2,Mass Market,1/3/2018
3,9,9780062693662,9.99,Agatha Christie,Murder on the Orient Express,3,Mass Market,1/3/2018
,1,9781478944782,9.99,James Patterson,Never Never,4,Mass Market,1/3/2018
10,24,9780451490049,9.99,Liane Moriarty,The Husband's Secret,5,Mass Market,1/3/2018
8,3,9781101883907,8.99,Danielle Steel,Dangerous Games,6,Mass Market,1/3/2018
5,9,9781524763282,9.99,Ernest Cline,Ready Player One,7,Mass Market,1/3/2018
6,49,9780756404741,9.99,Patrick Rothfuss,The Name of the Wind,8,Mass Market,1/3/2018
,1,9781478948377,8.99,Nicholas Sparks,Safe Haven,9,Mass Market,1/3/2018
,1,9781501179952,9.99,Doug Stanton,12 Strong,10,Mass Market,1/3/2018
,1,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,1/10/2018
2,26,9781101967683,9.99,John Grisham,The Whistler,2,Mass Market,1/10/2018
1,6,9780062473363,9.99,Michael Crichton,Dragon Teeth,3,Mass Market,1/10/2018
3,10,9780062693662,9.99,Agatha Christie,Murder on the Orient Express,4,Mass Market,1/10/2018
4,2,9781478944782,9.99,James Patterson,Never Never,5,Mass Market,1/10/2018
5,25,9780451490049,9.99,Liane Moriarty,The Husband's Secret,6,Mass Market,1/10/2018
,1,9780451490445,9.99,Liane Moriarty,What Alice Forgot,7,Mass Market,1/10/2018
10,2,9781501179952,9.99,Doug Stanton,12 Strong,8,Mass Market,1/10/2018
9,2,9781478948377,8.99,Nicholas Sparks,Safe Haven,9,Mass Market,1/10/2018
6,4,9781101883907,8.99,Danielle Steel,Dangerous Games,10,Mass Market,1/10/2018
1,2,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,1/17/2018
3,7,9780062473363,9.99,Michael Crichton,Dragon Teeth,2,Mass Market,1/17/2018
2,27,9781101967683,9.99,John Grisham,The Whistler,3,Mass Market,1/17/2018
5,3,9781478944782,9.99,James Patterson,Never Never,4,Mass Market,1/17/2018
8,3,9781501179952,9.99,Doug Stanton,12 Strong,5,Mass Market,1/17/2018
6,26,9780451490049,9.99,Liane Moriarty,The Husband's Secret,6,Mass Market,1/17/2018
,1,9781250058461,9.99,Steve Berry,The Lost Order,7,Mass Market,1/17/2018
